project,bug,cornTotal,corn2,cornN,cornIN,isCorn
jdt,406319,2,2,0,0,0
jdt,488663,2,2,0,0,0
jdt,517326,2,2,0,0,0
jdt,88298,2,2,0,0,0
jdt,228464,2,2,0,0,0
jdt,197050,2,2,0,0,0
jdt,496123,2,2,0,0,0
jdt,449619,2,2,0,0,0
p2,301305,2,2,0,0,0
p2,270542,2,2,0,0,0
p2,233198,2,2,0,0,0
p2,302283,2,2,0,0,0
p2,261637,2,2,0,0,0
p2,221256,2,2,0,0,0
p2,514885,2,2,0,0,0
p2,250188,2,2,0,0,0
p2,525707,2,2,0,0,0
p2,498116,2,2,0,0,0
p2,212898,2,2,0,0,0
p2,274569,2,2,0,0,0
p2,234154,2,2,0,0,0
p2,222621,2,2,0,0,0
p2,212461,2,2,0,0,0
p2,212336,2,2,0,0,0
p2,260752,2,2,0,0,0
p2,266939,2,2,0,0,0
p2,343329,2,2,0,0,0
p2,299818,2,2,0,0,0
p2,229066,2,2,0,0,0
p2,324355,2,2,0,0,0
p2,341737,2,2,0,0,0
p2,300928,2,2,0,0,0
p2,222567,2,2,0,0,0
p2,209541,2,2,0,0,0
p2,209549,2,2,0,0,0
p2,218451,2,1,1,0,0
p2,274011,2,2,0,0,0
p2,220125,2,2,0,0,0
p2,495726,2,2,0,0,0
p2,200605,2,2,0,0,0
p2,262298,2,2,0,0,0
p2,525501,2,2,0,0,0
p2,432634,2,2,0,0,0
p2,422026,2,2,0,0,0
p2,199806,2,2,0,0,0
swt,314622,2,2,0,0,0
swt,484541,2,2,0,0,0
jdt,424710,1,0,1,1,1
swt,444715,1,0,1,1,1
jdt,76190,1,1,0,0,0
jdt,272711,1,1,0,0,0
jdt,507571,1,1,0,0,0
jdt,23126,1,1,0,0,0
jdt,114115,1,1,0,0,0
jdt,406773,1,1,0,0,0
jdt,508079,1,1,0,0,0
jdt,365992,1,1,0,0,0
jdt,416190,1,1,0,0,0
jdt,224750,1,1,0,0,0
jdt,452788,1,1,0,0,0
jdt,395886,1,1,0,0,0
jdt,513790,1,1,0,0,0
jdt,427199,1,1,0,0,0
jdt,500716,1,1,0,0,0
jdt,230885,1,0,1,0,0
jdt,525208,1,1,0,0,0
jdt,133491,1,1,0,0,0
jdt,424205,1,1,0,0,0
jdt,391893,1,1,0,0,0
jdt,409245,1,1,0,0,0
jdt,424914,1,1,0,0,0
jdt,338118,1,1,0,0,0
jdt,506888,1,1,0,0,0
jdt,495863,1,1,0,0,0
jdt,474081,1,1,0,0,0
jdt,499589,1,1,0,0,0
jdt,433458,1,1,0,0,0
jdt,365387,1,1,0,0,0
jdt,29536,1,1,0,0,0
jdt,520656,1,1,0,0,0
jdt,429012,1,1,0,0,0
jdt,424138,1,1,0,0,0
jdt,512914,1,1,0,0,0
jdt,520826,1,1,0,0,0
jdt,414113,1,1,0,0,0
jdt,488442,1,1,0,0,0
jdt,391464,1,1,0,0,0
jdt,515342,1,1,0,0,0
jdt,237241,1,1,0,0,0
jdt,458396,1,1,0,0,0
jdt,442614,1,1,0,0,0
jdt,60081,1,1,0,0,0
jdt,227855,1,0,1,0,0
jdt,500467,1,1,0,0,0
