Project,IssueID,Lambda,Upsilon,Domino,Cyclic
jdt,519723,0,0,0,0
jdt,519963,0,0,0,0
jdt,520329,0,1,1,0
jdt,520335,0,0,0,0
jdt,520651,1,1,1,0
jdt,520656,0,0,0,0
jdt,520795,0,0,0,0
jdt,520826,0,1,0,0
jdt,520995,0,1,0,0
jdt,521058,1,1,0,0
jdt,521287,0,0,0,0
jdt,521362,0,0,0,0
jdt,521847,1,0,0,0
jdt,521896,0,0,0,0
jdt,522073,0,0,0,0
jdt,522328,0,0,0,0
jdt,525208,0,0,0,0
jdt,525432,0,0,0,0
jdt,526591,0,0,0,0
jdt,526615,0,1,0,0
jdt,527260,0,0,0,0
jdt,527531,0,0,0,0
jdt,58582,1,1,1,0
jdt,59788,0,0,0,0
jdt,60081,1,1,0,0
jdt,65259,1,1,0,0
jdt,66271,1,1,0,0
jdt,66533,1,1,1,0
jdt,6930,1,1,1,0
jdt,70602,0,0,0,0
jdt,71761,0,0,0,0
jdt,72105,1,0,0,0
jdt,74286,1,1,1,0
jdt,76190,1,0,0,0
jdt,77359,0,0,0,0
jdt,78931,1,0,0,0
jdt,79752,1,1,0,0
jdt,80839,1,1,0,0
jdt,83548,1,0,1,0
jdt,83713,1,1,1,0
jdt,88298,1,1,0,0
jdt,90612,1,1,0,0
jdt,94965,0,0,0,0
jdt,96918,0,0,0,0
p2,179317,0,0,0,0
p2,179563,0,0,0,0
p2,181297,0,0,0,0
p2,190041,0,0,0,0
p2,190923,0,0,0,0
p2,192467,0,0,0,0
p2,194224,0,0,0,0
p2,194665,0,0,0,0
p2,199806,0,0,0,0
p2,200380,0,0,0,0
p2,200605,0,0,0,0
p2,202464,0,0,0,0
p2,202985,0,0,0,0
p2,203009,0,0,0,0
p2,203011,0,0,0,0
p2,203115,0,0,0,0
p2,203323,0,0,0,0
p2,203340,0,0,0,0
p2,203543,0,0,0,0
p2,204177,0,0,0,0
p2,204184,0,0,0,0
p2,204290,0,0,0,0
p2,204301,0,0,0,0
p2,204347,0,0,0,0
p2,204402,0,0,0,0
p2,204470,0,0,0,0
